model,corruption,severity,top1_acc,top5_acc
resnet50,brightness,1,71.46,97.86
resnet50,brightness,2,71.33,97.69
resnet50,brightness,3,70.42,97.52
resnet50,brightness,4,68.83,97.18
resnet50,brightness,5,64.9,96.41
resnet50,contrast,1,68.66,96.8
resnet50,contrast,2,51.12,89.03
resnet50,contrast,3,40.4,81.14
resnet50,contrast,4,31.16,72.16
resnet50,contrast,5,21.91,61.36
resnet50,defocus_blur,1,71.3,97.78
resnet50,defocus_blur,2,70.05,97.39
resnet50,defocus_blur,3,67.37,96.85
resnet50,defocus_blur,4,63.84,96.24
resnet50,defocus_blur,5,54.55,93.0
resnet50,elastic_transform,1,65.9,96.27
resnet50,elastic_transform,2,65.84,96.48
resnet50,elastic_transform,3,64.76,96.37
resnet50,elastic_transform,4,62.45,95.66
resnet50,elastic_transform,5,60.64,95.0
resnet50,fog,1,70.66,97.39
resnet50,fog,2,64.91,95.38
resnet50,fog,3,57.24,92.7
resnet50,fog,4,50.01,89.14
resnet50,fog,5,36.99,80.43
resnet50,frost,1,69.86,97.46
resnet50,frost,2,66.44,96.58
resnet50,frost,3,61.78,95.32
resnet50,frost,4,61.84,95.21
resnet50,frost,5,56.62,93.34
resnet50,gaussian_blur,1,71.29,97.8
resnet50,gaussian_blur,2,67.25,96.78
resnet50,gaussian_blur,3,63.68,96.02
resnet50,gaussian_blur,4,59.22,94.78
resnet50,gaussian_blur,5,50.53,91.63
resnet50,gaussian_noise,1,70.23,97.57
resnet50,gaussian_noise,2,67.74,97.22
resnet50,gaussian_noise,3,63.86,96.33
resnet50,gaussian_noise,4,61.88,95.7
resnet50,gaussian_noise,5,59.68,95.15
resnet50,glass_blur,1,61.55,95.8
resnet50,glass_blur,2,61.99,95.95
resnet50,glass_blur,3,62.3,95.69
resnet50,glass_blur,4,53.0,93.4
resnet50,glass_blur,5,54.35,93.61
resnet50,impulse_noise,1,68.05,97.31
resnet50,impulse_noise,2,63.48,96.38
resnet50,impulse_noise,3,59.8,95.13
resnet50,impulse_noise,4,51.8,92.94
resnet50,impulse_noise,5,46.27,90.54
resnet50,jpeg_compression,1,70.17,97.59
resnet50,jpeg_compression,2,69.38,97.41
resnet50,jpeg_compression,3,69.06,97.51
resnet50,jpeg_compression,4,68.26,97.35
resnet50,jpeg_compression,5,67.51,97.14
resnet50,motion_blur,1,67.8,97.11
resnet50,motion_blur,2,63.34,96.2
resnet50,motion_blur,3,57.64,94.99
resnet50,motion_blur,4,57.24,95.11
resnet50,motion_blur,5,52.13,93.36
resnet50,pixelate,1,70.63,97.71
resnet50,pixelate,2,70.02,97.44
resnet50,pixelate,3,69.42,97.45
resnet50,pixelate,4,67.83,97.05
resnet50,pixelate,5,65.46,96.46
resnet50,saturate,1,68.29,97.24
resnet50,saturate,2,66.08,96.7
resnet50,saturate,3,70.83,97.24
resnet50,saturate,4,66.37,95.33
resnet50,saturate,5,60.26,92.51
resnet50,shot_noise,1,70.61,97.8
resnet50,shot_noise,2,69.61,97.6
resnet50,shot_noise,3,66.55,96.86
resnet50,shot_noise,4,64.77,96.35
resnet50,shot_noise,5,61.26,95.38
resnet50,snow,1,68.47,97.1
resnet50,snow,2,64.78,96.11
resnet50,snow,3,61.58,95.41
resnet50,snow,4,58.85,94.32
resnet50,snow,5,59.04,94.15
resnet50,spatter,1,69.17,97.42
resnet50,spatter,2,63.74,96.4
resnet50,spatter,3,59.48,95.46
resnet50,spatter,4,63.3,95.29
resnet50,spatter,5,56.36,93.12
resnet50,speckle_noise,1,70.93,97.72
resnet50,speckle_noise,2,68.89,97.35
resnet50,speckle_noise,3,67.77,96.97
resnet50,speckle_noise,4,64.36,96.28
resnet50,speckle_noise,5,60.39,94.99
resnet50,zoom_blur,1,66.49,95.92
resnet50,zoom_blur,2,64.8,95.58
resnet50,zoom_blur,3,61.58,94.48
resnet50,zoom_blur,4,58.15,93.2
resnet50,zoom_blur,5,52.87,90.82
