model,corruption,severity,top1_acc,top5_acc
resnet50,brightness,1,82.3,99.04
resnet50,brightness,2,81.98,99.0
resnet50,brightness,3,81.13,98.77
resnet50,brightness,4,80.05,98.68
resnet50,brightness,5,75.64,97.99
resnet50,contrast,1,80.28,98.89
resnet50,contrast,2,69.85,96.93
resnet50,contrast,3,59.17,93.95
resnet50,contrast,4,41.88,84.57
resnet50,contrast,5,19.72,59.03
resnet50,defocus_blur,1,81.63,98.93
resnet50,defocus_blur,2,79.02,98.57
resnet50,defocus_blur,3,74.28,97.92
resnet50,defocus_blur,4,68.77,97.12
resnet50,defocus_blur,5,55.33,93.34
resnet50,elastic_transform,1,75.26,97.9
resnet50,elastic_transform,2,75.11,98.1
resnet50,elastic_transform,3,72.22,97.43
resnet50,elastic_transform,4,67.29,96.59
resnet50,elastic_transform,5,64.1,95.63
resnet50,fog,1,81.19,98.89
resnet50,fog,2,76.92,98.42
resnet50,fog,3,69.98,96.91
resnet50,fog,4,59.69,94.62
resnet50,fog,5,37.24,85.87
resnet50,frost,1,80.72,98.74
resnet50,frost,2,78.02,98.37
resnet50,frost,3,73.32,97.82
resnet50,frost,4,73.28,97.75
resnet50,frost,5,68.58,97.03
resnet50,gaussian_blur,1,81.61,98.9
resnet50,gaussian_blur,2,74.07,97.92
resnet50,gaussian_blur,3,68.38,96.99
resnet50,gaussian_blur,4,62.45,95.48
resnet50,gaussian_blur,5,50.32,91.54
resnet50,gaussian_noise,1,79.81,98.96
resnet50,gaussian_noise,2,76.43,98.51
resnet50,gaussian_noise,3,70.89,97.99
resnet50,gaussian_noise,4,68.74,97.55
resnet50,gaussian_noise,5,65.3,97.28
resnet50,glass_blur,1,65.93,96.88
resnet50,glass_blur,2,66.9,97.02
resnet50,glass_blur,3,66.84,97.13
resnet50,glass_blur,4,55.48,94.08
resnet50,glass_blur,5,56.37,94.13
resnet50,impulse_noise,1,77.89,98.65
resnet50,impulse_noise,2,72.03,98.27
resnet50,impulse_noise,3,67.44,97.51
resnet50,impulse_noise,4,57.34,95.68
resnet50,impulse_noise,5,48.28,93.45
resnet50,jpeg_compression,1,80.01,98.95
resnet50,jpeg_compression,2,78.27,98.74
resnet50,jpeg_compression,3,77.42,98.56
resnet50,jpeg_compression,4,76.67,98.48
resnet50,jpeg_compression,5,75.23,98.2
resnet50,motion_blur,1,75.28,98.09
resnet50,motion_blur,2,68.14,96.74
resnet50,motion_blur,3,60.92,94.72
resnet50,motion_blur,4,60.65,95.16
resnet50,motion_blur,5,54.47,92.91
resnet50,pixelate,1,81.18,98.97
resnet50,pixelate,2,79.79,98.78
resnet50,pixelate,3,78.68,98.71
resnet50,pixelate,4,74.87,98.21
resnet50,pixelate,5,66.56,96.66
resnet50,saturate,1,78.54,98.55
resnet50,saturate,2,75.98,97.99
resnet50,saturate,3,81.25,98.83
resnet50,saturate,4,77.55,98.36
resnet50,saturate,5,72.71,97.11
resnet50,shot_noise,1,80.96,98.88
resnet50,shot_noise,2,80.07,98.86
resnet50,shot_noise,3,74.58,98.29
resnet50,shot_noise,4,72.42,98.13
resnet50,shot_noise,5,67.94,97.43
resnet50,snow,1,78.43,98.72
resnet50,snow,2,73.83,98.12
resnet50,snow,3,71.2,97.46
resnet50,snow,4,69.01,96.98
resnet50,snow,5,69.2,97.14
resnet50,spatter,1,79.56,98.65
resnet50,spatter,2,74.57,98.24
resnet50,spatter,3,70.41,97.35
resnet50,spatter,4,73.65,97.64
resnet50,spatter,5,66.59,96.18
resnet50,speckle_noise,1,81.09,98.88
resnet50,speckle_noise,2,78.9,98.69
resnet50,speckle_noise,3,76.92,98.57
resnet50,speckle_noise,4,71.92,97.88
resnet50,speckle_noise,5,66.45,96.96
resnet50,zoom_blur,1,72.54,97.5
resnet50,zoom_blur,2,70.98,96.98
resnet50,zoom_blur,3,67.02,95.86
resnet50,zoom_blur,4,63.23,94.71
resnet50,zoom_blur,5,57.39,92.11
