model,corruption,severity,top1_acc,top5_acc
vit_small,brightness,1,53.75,94.45
vit_small,brightness,2,52.92,94.27
vit_small,brightness,3,51.52,93.8
vit_small,brightness,4,49.5,92.9
vit_small,brightness,5,44.38,90.5
vit_small,contrast,1,48.6,92.3
vit_small,contrast,2,31.63,79.25
vit_small,contrast,3,25.79,71.05
vit_small,contrast,4,21.75,64.48
vit_small,contrast,5,17.42,58.02
vit_small,defocus_blur,1,53.95,94.62
vit_small,defocus_blur,2,52.66,93.95
vit_small,defocus_blur,3,49.66,93.01
vit_small,defocus_blur,4,46.63,91.59
vit_small,defocus_blur,5,39.87,87.29
vit_small,elastic_transform,1,50.78,93.56
vit_small,elastic_transform,2,51.2,93.4
vit_small,elastic_transform,3,49.14,92.98
vit_small,elastic_transform,4,48.02,92.3
vit_small,elastic_transform,5,46.99,91.62
vit_small,fog,1,52.16,93.99
vit_small,fog,2,44.07,90.07
vit_small,fog,3,36.24,85.42
vit_small,fog,4,29.31,79.4
vit_small,fog,5,21.26,70.97
vit_small,frost,1,50.24,93.14
vit_small,frost,2,45.36,90.89
vit_small,frost,3,38.58,87.69
vit_small,frost,4,39.23,87.64
vit_small,frost,5,34.96,85.31
vit_small,gaussian_blur,1,53.95,94.6
vit_small,gaussian_blur,2,49.54,92.79
vit_small,gaussian_blur,3,45.87,91.07
vit_small,gaussian_blur,4,42.68,89.19
vit_small,gaussian_blur,5,36.72,84.84
vit_small,gaussian_noise,1,49.89,93.64
vit_small,gaussian_noise,2,45.11,92.45
vit_small,gaussian_noise,3,39.7,90.1
vit_small,gaussian_noise,4,36.73,88.71
vit_small,gaussian_noise,5,34.35,87.44
vit_small,glass_blur,1,47.49,92.58
vit_small,glass_blur,2,47.68,92.25
vit_small,glass_blur,3,48.27,92.24
vit_small,glass_blur,4,43.47,90.38
vit_small,glass_blur,5,45.07,90.56
vit_small,impulse_noise,1,48.15,92.92
vit_small,impulse_noise,2,43.51,91.64
vit_small,impulse_noise,3,39.41,89.5
vit_small,impulse_noise,4,32.96,85.94
vit_small,impulse_noise,5,29.04,82.52
vit_small,jpeg_compression,1,51.54,93.89
vit_small,jpeg_compression,2,49.88,93.46
vit_small,jpeg_compression,3,49.9,93.26
vit_small,jpeg_compression,4,49.53,93.11
vit_small,jpeg_compression,5,48.71,92.71
vit_small,motion_blur,1,51.55,93.73
vit_small,motion_blur,2,47.45,92.62
vit_small,motion_blur,3,43.54,90.35
vit_small,motion_blur,4,43.22,90.63
vit_small,motion_blur,5,40.01,88.63
vit_small,pixelate,1,52.67,94.29
vit_small,pixelate,2,50.28,93.61
vit_small,pixelate,3,51.08,93.6
vit_small,pixelate,4,48.66,93.32
vit_small,pixelate,5,45.44,92.4
vit_small,saturate,1,48.5,92.71
vit_small,saturate,2,43.06,90.6
vit_small,saturate,3,51.97,94.4
vit_small,saturate,4,45.16,91.8
vit_small,saturate,5,38.35,89.16
vit_small,shot_noise,1,51.9,94.2
vit_small,shot_noise,2,48.8,93.41
vit_small,shot_noise,3,43.13,90.99
vit_small,shot_noise,4,40.31,89.95
vit_small,shot_noise,5,35.72,87.8
vit_small,snow,1,51.12,93.73
vit_small,snow,2,46.43,92.23
vit_small,snow,3,46.59,92.11
vit_small,snow,4,45.15,91.3
vit_small,snow,5,41.87,89.42
vit_small,spatter,1,51.11,93.96
vit_small,spatter,2,48.06,92.77
vit_small,spatter,3,44.61,91.96
vit_small,spatter,4,48.9,93.26
vit_small,spatter,5,44.33,92.09
vit_small,speckle_noise,1,51.66,94.04
vit_small,speckle_noise,2,47.35,92.89
vit_small,speckle_noise,3,44.97,92.14
vit_small,speckle_noise,4,40.52,89.93
vit_small,speckle_noise,5,35.59,87.37
vit_small,zoom_blur,1,49.81,92.79
vit_small,zoom_blur,2,48.64,92.38
vit_small,zoom_blur,3,46.88,91.29
vit_small,zoom_blur,4,44.86,90.56
vit_small,zoom_blur,5,42.08,88.91
