model,corruption,severity,top1_acc,top5_acc
vit_small_patch16_224,brightness,1,97.94,99.96
vit_small_patch16_224,brightness,2,97.79,99.95
vit_small_patch16_224,brightness,3,97.58,99.96
vit_small_patch16_224,brightness,4,97.26,99.94
vit_small_patch16_224,brightness,5,96.12,99.9
vit_small_patch16_224,contrast,1,98.16,99.96
vit_small_patch16_224,contrast,2,97.85,99.96
vit_small_patch16_224,contrast,3,97.64,99.96
vit_small_patch16_224,contrast,4,96.87,99.95
vit_small_patch16_224,contrast,5,92.88,99.72
vit_small_patch16_224,defocus_blur,1,97.97,99.96
vit_small_patch16_224,defocus_blur,2,97.6,99.97
vit_small_patch16_224,defocus_blur,3,96.68,99.98
vit_small_patch16_224,defocus_blur,4,95.32,99.86
vit_small_patch16_224,defocus_blur,5,90.5,99.33
vit_small_patch16_224,elastic_transform,1,95.85,99.91
vit_small_patch16_224,elastic_transform,2,95.83,99.95
vit_small_patch16_224,elastic_transform,3,94.08,99.8
vit_small_patch16_224,elastic_transform,4,86.06,98.3
vit_small_patch16_224,elastic_transform,5,74.71,95.24
vit_small_patch16_224,fog,1,98.05,99.96
vit_small_patch16_224,fog,2,97.61,99.98
vit_small_patch16_224,fog,3,96.97,99.93
vit_small_patch16_224,fog,4,95.24,99.85
vit_small_patch16_224,fog,5,87.63,98.85
vit_small_patch16_224,frost,1,97.24,99.96
vit_small_patch16_224,frost,2,95.58,99.84
vit_small_patch16_224,frost,3,92.48,99.5
vit_small_patch16_224,frost,4,92.48,99.34
vit_small_patch16_224,frost,5,88.5,98.62
vit_small_patch16_224,gaussian_blur,1,97.95,99.97
vit_small_patch16_224,gaussian_blur,2,96.75,99.96
vit_small_patch16_224,gaussian_blur,3,95.66,99.89
vit_small_patch16_224,gaussian_blur,4,94.09,99.76
vit_small_patch16_224,gaussian_blur,5,88.69,99.16
vit_small_patch16_224,gaussian_noise,1,92.86,99.66
vit_small_patch16_224,gaussian_noise,2,85.91,98.65
vit_small_patch16_224,gaussian_noise,3,75.21,95.81
vit_small_patch16_224,gaussian_noise,4,68.73,93.0
vit_small_patch16_224,gaussian_noise,5,61.47,89.56
vit_small_patch16_224,glass_blur,1,78.82,96.51
vit_small_patch16_224,glass_blur,2,78.18,96.48
vit_small_patch16_224,glass_blur,3,78.13,95.81
vit_small_patch16_224,glass_blur,4,64.19,92.59
vit_small_patch16_224,glass_blur,5,64.14,92.22
vit_small_patch16_224,impulse_noise,1,96.32,99.94
vit_small_patch16_224,impulse_noise,2,94.23,99.82
vit_small_patch16_224,impulse_noise,3,91.57,99.55
vit_small_patch16_224,impulse_noise,4,82.79,98.73
vit_small_patch16_224,impulse_noise,5,70.48,96.58
vit_small_patch16_224,jpeg_compression,1,93.51,99.75
vit_small_patch16_224,jpeg_compression,2,89.86,99.46
vit_small_patch16_224,jpeg_compression,3,88.03,99.3
vit_small_patch16_224,jpeg_compression,4,86.09,98.99
vit_small_patch16_224,jpeg_compression,5,83.13,98.41
vit_small_patch16_224,motion_blur,1,96.58,99.9
vit_small_patch16_224,motion_blur,2,94.24,99.79
vit_small_patch16_224,motion_blur,3,90.87,99.29
vit_small_patch16_224,motion_blur,4,90.54,99.33
vit_small_patch16_224,motion_blur,5,86.81,98.83
vit_small_patch16_224,pixelate,1,96.78,99.92
vit_small_patch16_224,pixelate,2,93.7,99.5
vit_small_patch16_224,pixelate,3,91.36,99.2
vit_small_patch16_224,pixelate,4,76.85,96.28
vit_small_patch16_224,pixelate,5,54.34,88.85
vit_small_patch16_224,saturate,1,97.03,99.96
vit_small_patch16_224,saturate,2,94.94,99.85
vit_small_patch16_224,saturate,3,97.74,99.95
vit_small_patch16_224,saturate,4,96.24,99.88
vit_small_patch16_224,saturate,5,94.34,99.68
vit_small_patch16_224,shot_noise,1,94.84,99.91
vit_small_patch16_224,shot_noise,2,91.82,99.53
vit_small_patch16_224,shot_noise,3,82.05,97.73
vit_small_patch16_224,shot_noise,4,76.46,96.2
vit_small_patch16_224,shot_noise,5,64.99,91.56
vit_small_patch16_224,snow,1,96.88,99.95
vit_small_patch16_224,snow,2,95.14,99.89
vit_small_patch16_224,snow,3,95.03,99.78
vit_small_patch16_224,snow,4,93.29,99.67
vit_small_patch16_224,snow,5,92.27,99.46
vit_small_patch16_224,spatter,1,97.3,99.94
vit_small_patch16_224,spatter,2,96.1,99.91
vit_small_patch16_224,spatter,3,93.87,99.79
vit_small_patch16_224,spatter,4,96.29,99.94
vit_small_patch16_224,spatter,5,94.82,99.78
vit_small_patch16_224,speckle_noise,1,95.1,99.77
vit_small_patch16_224,speckle_noise,2,90.44,99.24
vit_small_patch16_224,speckle_noise,3,86.88,98.75
vit_small_patch16_224,speckle_noise,4,77.37,96.42
vit_small_patch16_224,speckle_noise,5,66.43,92.27
vit_small_patch16_224,zoom_blur,1,95.92,99.93
vit_small_patch16_224,zoom_blur,2,96.1,99.88
vit_small_patch16_224,zoom_blur,3,94.82,99.83
vit_small_patch16_224,zoom_blur,4,93.14,99.68
vit_small_patch16_224,zoom_blur,5,89.31,99.33
